SN,SMT ID,IMIS ID,"New LAC 
 [ After De-limitation ]","Block
 [ After Delimitation ]",GP,Type,Scheme Type,Name of Scheme,SO NAME,Contractor Name,FHTC Target as per TS / DPR,FHTC Achieved,Sub-Division,"Work Status 
[ as per JJM Brain as on 10-08-2026 ]","Operational Status as per JJM Brain 
[ as on 10-08-2026 ]",PWSS Operational Status as per FIELD,"Work will be resolve / done by
[ For Partially or Non Operative PWSS ]","Estimate Prepared or Not
[ For Partially or Non Operative PWSS ]","Whether AA Accorded
[ For Partially or Non Operative PWSS ]","Work Allotted or Not
[ For Partially or Non Operative PWSS ]",Estimate Amount [ in Rs. ],If Work Allotted - Name of the Contractor,Work Status for making the PWSS functional [ Not Started / Ongoing / Halted / Completed ],Remarks,Specific Reason from JJM Brain / Issue,Tariff Collection,Issue will Resolve by / Action Taken,"Physical progress (in %) as per IMIS
 [ 30-06-2026 ]",Estimate provided under SOPD,"Estimate Amount to SOPD
 [ in Rs ]"
27,16831,30190297,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,CHANGMAI CHUCK PWSS,ANUPAM,HAREN MAHANTA,275,144,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,Estimated Submitted to P&RD - Work Ongoing,100,,
29,16835,30076844,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,DAKHIN BISHRAMPUR PWSS,ANUPAM,M/S Electro Mechnico Projects (P) Ltd,149,149,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,ON PROCESS,,,,,,PUMPs are not working,,Tariff Collection: NO,,100,,
30,11877,30215959,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,DIGHALI PATHER PWSS,ANUPAM,SRI JAYANTA KHAUND,204,160,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,water in 10-12 FHTC are not flowing,,Tariff Collection: YES,,100,,
31,16839,30205714,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,DIMBOJOA PWSS,ANUPAM,HAREN MAHANTA,69,50,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
32,16847,30191632,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,DUMSHIHATIGARH PWSS,ANUPAM,M/S Haji Enterprises,319,101,DIGBOI,ONGOING,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,81,,
34,16851,30076843,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,HATIGARH NO 2 PWSS,ANUPAM,M/S Electro Mechnico Projects (P) Ltd,164,151,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,APDCL,,,,,,,Village transformer is damaged,,Tariff Collection: NO,,55,,
42,16897,30200400,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,LITONG GAON PWSS,ANUPAM,HAREN MAHANTA,146,150,DIGBOI,ONGOING,OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,43,,
43,16900,30200487,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,MADARKHAT GAON PWSS,ANUPAM,HAREN MAHANTA,231,101,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
46,16904,30201945,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,MILONPUR. PWSS,ANUPAM,HAREN MAHANTA,111,105,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,41,,
51,16910,30203602,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,NAMHOLLONG BLOCK GAON PWSS,ANUPAM,HAREN MAHANTA,208,179,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
53,11878,30215957,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,NATUN TALPATHER. PWSS,ANUPAM,SRI JAYANTA KHAUND,232,166,DIGBOI,HANDED_OVER,OPERATIVE,Non Operative,P&RD - 15 FC,YES,YES,YES,60990,Jugita Saikia Moran,Ongoing,Village Transformer fuse is out,,Tariff Collection: NO,,100,,
54,16918,30200892,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,NAVOJYOTI PWSS,ANUPAM,HAREN MAHANTA,136,128,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
67,16923,30183171,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,SIMALUGURI. PWSS,ANUPAM,Jai Shankar Prasad,244,220,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,Estimate Under Prepration in Division and will be sent to P&RD,100,,
68,16927,30183448,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,SONJAN GAON. PWSS,ANUPAM,Shiv Prakash Gupta,101,105,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,Estimated Submitted to P&RD - Work Not Started,100,,
71,16943,30183934,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,TENGABARI. PWSS,ANUPAM,HAREN MAHANTA,55,50,DIGBOI,ONGOING,OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
72,16950,30184010,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,TINIALI NA-GAON. PWSS,ANUPAM,HAREN MAHANTA,150,171,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,WUC / Jal Mitra,100,,
73,16958,30184019,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,TIPOLI CHUCK. PWSS,ANUPAM,HAREN MAHANTA,159,44,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
74,16966,30185016,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,TONGONA SUNJAN. PWSS,ANUPAM,Shiv Prakash Gupta,163,121,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
76,16970,30185335,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,UTTAR BISHAMPUR PWSS,ANUPAM,HAREN MAHANTA,148,174,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
77,16975,30185413,DIGBOI,DIGBOI,KAILASHPUR,NEW,NON TEA GARDEN,WATHOI. PWSS,ANUPAM,Manash Protim Borah,82,75,DIGBOI,ONGOING,NON_OPERATIVE,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
263,17479,30216366,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,20 NO. LINE PWSS,PUJA,Kalyan Chetia,117,117,DIGBOI,HANDED_OVER,NON_OPERATIVE,Non Operative,P&RD - 15 FC,YES,NO,,,,,,Pipeline damage (other third parties),Tariff Collection: NO,Estimates Already send under SOPD to HQ,100,YES,858162
264,17888,30181474,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,OUGURI TINGRAI PWSS ( 6 NO WARD OUGURI GAON ),PUJA,Nortech Power Projects Pvt. Ltd.,236,144,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,,Tariff Collection: NO,,80,,
265,17891,30181483,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,MAJ MAMORONI PWSS ( 7 NO WARD OUGURI GAON ),PUJA,Nortech Power Projects Pvt. Ltd.,155,81,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,84143,MIRAJ MORAN,Ongoing,,,Tariff Collection: NO,,24,,
266,17899,30076146,DIGBOI,DIGBOI,TINGRAI,NEW,TEA GARDEN SCHEME,ANANDA BAG TE NO. 1 LABOUR LINE PWSS,PUJA,PANKAJ KALITA,202,204,DIGBOI,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,Voltage or Load Issues,Tariff Collection: NO,,100,,
267,17902,30076152,DIGBOI,DIGBOI,TINGRAI,NEW,TEA GARDEN SCHEME,ANANDA BAG TE PWSS,PUJA,PANKAJ KALITA,185,183,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,,Tariff Collection: YES,,100,,
269,17903,30181785,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,ASSAMIYA PATHER GAON. PWSS,PUJA,Nortech Power Projects Pvt. Ltd.,146,81,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,NO,,,,,,,Tariff Collection: YES,,100,,
271,12160,30020302,DIGBOI,DIGBOI,BORBIL,NEW,NON TEA GARDEN,BALIJAN NC PWSS,PUJA,Shiva Gogoi,216,216,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,37,,
272,17468,30183290,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,BAPAPUNG NO.2 PWSS,PUJA,HANUMAN DISTRIBUTORS,304,302,DIGBOI,ONGOING,PARTIALLY_OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,40,,
274,11407,30015343,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,PACHIM MAMORONI PWSS ( BHATI MAMORANI ),PUJA,Udeepta Phukan,232,228,DIGBOI,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,1188731,UDIPTA PHUKAN,Ongoing,,Pipeline Damage due to PWD road construction or Augmentation,Tariff Collection: NO,,100,,
275,17472,30183485,DIGBOI,DIGBOI,GOLAI,NEW,NON TEA GARDEN,BHIMPATHAR PWSS,PUJA,Kalyan Chetia,100,91,DIGBOI,HANDED_OVER,OPERATIVE,Fully Operative,,,,,,,,,,Tariff Collection: NO,,100,,
276,11410,30216478,DIGBOI,DIGBOI,TINGRAI,NEW,NON TEA GARDEN,BHUYAN BASTI. PWSS,PUJA,Nortech Power Projects Pvt. Ltd.,423,304,DIGBOI,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,,,,,,Tariff Collection: NO,,34,,
